"","objid","ra","dec","u","g","r","i","z","run","rerun","camcol","field","specobjid","class","redshift","plate","mjd","fiberid"
"9080",1237648720688775424,168.3206823672,-0.484990212208433,22.23995,21.75107,21.69713,21.36451,21.48148,756,301,2,351,4265113444296925184,"QSO",0.6086572,3788,55246,744
"9081",1237648720688710656,168.305425628017,-0.451792663090078,23.24018,21.74075,21.3548,21.05729,20.91028,756,301,2,350,4321334228341989376,"QSO",0.1930613,3838,55588,474
"9082",1237648720688710400,168.29886324549,-0.431422920180911,23.86628,22.13408,20.62829,19.79043,19.25604,756,301,2,350,4321332029318733824,"QSO",0.4504824,3838,55588,466
"9083",1237652900749377792,2.95869982916,-9.86283273277486,21.17454,20.50055,20.46609,20.45509,20.18485,1729,301,4,102,8070470434607308800,"QSO",2.330281,7168,56625,72
"9084",1237648720688709888,168.298100254607,-0.613147815414506,22.12561,21.81557,21.74776,21.8727,20.94792,756,301,2,350,4321330929807106048,"QSO",2.16927,3838,55588,462
"9085",1237652900749443072,3.0262813876631,-9.79043489842979,20.10408,18.54434,17.64585,17.31285,17.14233,1729,301,4,103,734196451415975936,"QSO",0.1669651,652,52138,399
"9086",1237648720688709888,168.254512167252,-0.561375795271454,19.48996,19.3194,19.27734,19.09357,18.85926,756,301,2,350,313019447432472576,"QSO",2.138333,278,51900,70
"9087",1237648720688645376,168.118484224154,-0.557909333913363,24.26938,21.97983,21.0468,20.15128,20.00079,756,301,2,349,4320094803591143424,"QSO",6.325822,3837,55572,61
"9088",1237652900749574144,3.39741864527196,-9.85582090021393,16.92842,16.3216,15.86187,15.45688,15.24025,1729,301,4,105,734192878003185664,"QSO",0.06170309,652,52138,386
"9089",1237648720688645120,168.073124581223,-0.470300153907585,24.17483,20.84502,20.32713,20.1882,20.24274,756,301,2,349,4320095078469050368,"QSO",3.328401,3837,55572,62
"9090",1237648720688579072,168.003378387494,-0.62635881607097,21.58338,20.73342,20.57958,20.7216,20.71071,756,301,2,348,4320104974073700352,"QSO",2.692929,3837,55572,98
"9091",1237648720688513536,167.752895612581,-0.538539340915262,22.765,21.36918,20.07493,19.3034,18.74263,756,301,2,347,4265069188953907200,"QSO",5.672353,3788,55246,583
"9092",1237648720688382720,167.51570730834,-0.506173135186899,23.01129,20.77278,20.40223,20.25824,20.06874,756,301,2,345,4248279371419197440,"QSO",3.215248,3773,55240,942
"9093",1237648720688382720,167.491509237043,-0.455243984300334,22.50181,21.86828,21.56891,21.55278,21.09348,756,301,2,345,4320129163329511424,"QSO",1.068923,3837,55572,186
"9094",1237648720688382208,167.424765269197,-0.487900738272937,21.43456,20.76611,20.72693,20.73133,20.6139,756,301,2,345,4320139608689975296,"QSO",2.503266,3837,55572,224
"9095",1237648720688382208,167.421375639682,-0.575522141476184,21.82345,21.2378,21.29333,21.20902,20.84993,756,301,2,345,4248269475814547456,"QSO",2.373035,3773,55240,906
"9096",1237648720688316928,167.301820216191,-0.503802285356483,21.66711,21.12052,20.92305,20.9536,20.88382,756,301,2,344,4320139058934161408,"QSO",2.181367,3837,55572,222
"9097",1237648720688316672,167.337071772809,-0.481798099478869,21.20847,19.93195,19.63865,19.60574,19.69128,756,301,2,344,4248268926058733568,"QSO",2.872846,3773,55240,904
"9098",1237648720688316672,167.308889698257,-0.600201543813973,19.76673,19.1383,19.0336,18.97166,18.67929,756,301,2,344,4320146755515555840,"QSO",2.274101,3837,55572,250
"9099",1237652900750950656,6.51479346505813,-9.79359867612578,23.75649,21.23454,20.69798,20.59767,19.94961,1729,301,4,126,735354512155371520,"QSO",0.2410164,653,52145,516
"9100",1237648720688316416,167.263539713151,-0.429064872989092,19.17924,19.07219,18.84341,18.77594,18.84654,756,301,2,344,313051058391771136,"QSO",1.330264,278,51900,185
"9101",1237648720688120064,166.830198640671,-0.494644138711532,22.40587,22.00947,21.94114,21.97059,21.35082,756,301,2,341,4248235390954086400,"QSO",0.3297727,3773,55240,782
"9102",1237648720688120064,166.947698221327,-0.512286803673741,19.52566,18.74443,18.71345,18.77809,18.67544,756,301,2,341,313074423013861376,"QSO",0.901266,278,51900,270
